"","Cumulative","Cumulative  Test positive","Cumulative  tests performed","Date","Discharged","Expired","Home Quarantine","New  (last 24 hrs)","Region","Still admitted","Tests  performed in last 24 hours"
"9","13697","464","13697","5/5/2020","383","4","4","993","ICT","21","993"
"10","21683","3288","22692","5/5/2020","1578","185","14","783","KP","669","783"
"11","74533","8103","101897","5/5/2020","2779","136","7","6625","Punjab","2472","5043"
"13","66623","7882","66623","5/5/2020","4994","137","16","2571","Sindh","1122","2571"
"6","2391","76","2391","5/6/2020","54","0","0","110","AJK","22","110"
"7","16334","1495","11496","5/6/2020","206","21","1201","224","Balochistan","67","863"
"8","5284","386","4748","5/6/2020","282","3","79","124","GB","22","167"
"9","14585","485","14585","5/6/2020","56","4","407","888","ICT","18","888"
"10","22553","3499","23562","5/6/2020","875","194","1797","915","KP","633","870"
"11","79911","8420","106927","5/6/2020","3073","156","2779","5378","Punjab","2412","5030"
"13","69973","8189","68873","5/6/2020","1671","148","5139","3350","Sindh","1231","2250"
"6","2471","76","2471","5/7/2020","57","0","0","80","AJK","19","80"
"7","16470","1659","12289","5/7/2020","209","22","1361","136","Balochistan","67","793"
"8","5565","388","4876","5/7/2020","288","3","76","281","GB","21","128"
"9","15607","521","15607","5/7/2020","56","4","442","1022","ICT","19","1022"
"10","23975","3712","24984","5/7/2020","939","203","1899","1422","KP","671","1422"
"11","86398","9077","112007","5/7/2020","3184","175","2779","6487","Punjab","2939","5080"
"13","72544","8640","72544","5/7/2020","1731","157","5528","2571","Sindh","1224","3671"
"6","2518","78","2518","5/8/2020","58","0","0","47","AJK","20","47"
"7","16705","1725","13241","5/8/2020","209","24","1448","235","Balochistan","44","952"
"8","5658","394","5007","5/8/2020","292","3","86","93","GB","13","131"
"9","16666","558","16666","5/8/2020","72","4","464","1059","ICT","18","1059"
"10","25522","3956","26531","5/8/2020","984","209","2059","1547","KP","704","1547"
"11","92781","10033","117206","5/8/2020","4062","183","2779","6383","Punjab","3009","5199"
"13","76078","9093","76078","5/8/2020","1853","171","5858","3534","Sindh","1211","3534"
"6","2668","79","2668","5/9/2020","60","0","0","150","AJK","19","150"
"7","16822","1876","13771","5/9/2020","222","24","1586","117","Balochistan","44","530"
"8","5886","421","5135","5/9/2020","298","3","108","228","GB","12","128"
"9","17657","609","17657","5/9/2020","72","4","504","991","ICT","29","991"
"10","26981","4327","27990","5/9/2020","1033","221","2267","1459","KP","806","1459"
"11","96701","10471","121194","5/9/2020","4131","191","2779","3920","Punjab","3370","3988"
"13","81610","9691","81610","5/9/2020","1940","175","6422","5532","Sindh","1154","5532"
"6","2780","86","2780","5/10/2020","60","0","0","112","AJK","26","112"
"7","16944","1935","14374","5/10/2020","242","24","1641","122","Balochistan","28","603"
"8","5983","430","5310","5/10/2020","303","4","110","97","GB","13","175"
"9","18755","641","18755","5/10/2020","72","5","535","1098","ICT","29","1098"
"10","28193","4509","29202","5/10/2020","1086","234","2587","1212","KP","602","1212"
"11","101371","11093","125988","5/10/2020","4240","192","2779","4670","Punjab","3882","4794"
"13","87108","10771","87108","5/10/2020","2020","180","7432","5498","Sindh","1139","5498"
"6","2854","86","2854","5/11/2020","64","0","0","74","AJK","22","74"
"7","17237","2017","14687","5/11/2020","242","26","1721","293","Balochistan","28","313"
"8","6060","442","5480","5/11/2020","304","4","129","77","GB","5","170"
"9","19532","679","19532","5/11/2020","72","6","573","777","ICT","28","777"
"10","29463","4669","30472","5/11/2020","1126","245","2657","1270","KP","641","1270"
"11","103904","11568","130546","5/11/2020","4323","197","2779","2533","Punjab","4269","4558"
"13","91323","11480","91323","5/11/2020","2081","189","7973","4215","Sindh","1237","4215"
"6","2935","86","2935","5/12/2020","0","1","0","81","AJK","21","81"
"7","17514","2061","15323","5/12/2020","1761","27","1761","277","Balochistan","31","636"
"8","6213","457","5619","5/12/2020","121","4","121","153","GB","12","139"
"9","20201","716","20201","5/12/2020","602","6","602","669","ICT","36","669"
"10","30597","4875","31606","5/12/2020","2713","257","2713","1134","KP","649","1134"
"11","107603","11869","135114","5/12/2020","2784","211","2784","3699","Punjab","4422","4568"
"13","95053","12017","95053","5/12/2020","8178","200","8178","3730","Sindh","1490","3730"
"6","3037","88","3037","5/13/2020","0","1","0","102","AJK","19","102"
"7","17781","2158","15751","5/13/2020","1844","27","1844","267","Balochistan","31","428"
"8","6224","475","5748","5/13/2020","127","4","127","11","GB","13","129"
"9","21257","759","21257","5/13/2020","632","6","632","1056","ICT","29","1056"
"10","31568","5021","32577","5/13/2020","2860","267","2860","971","KP","589","971"
"11","114762","13225","140212","5/13/2020","2780","214","2780","7159","Punjab","5700","5098"
"13","99117","12610","99117","5/13/2020","8668","218","8668","4064","Sindh","1495","4064"
"6","3245","91","3245","5/14/2020","69","1","0","208","AJK","21","-166"
"7","17910","2239","16062","5/14/2020","326","27","1855","129","Balochistan","31","-539"
"8","6396","482","5884","5/14/2020","337","4","129","172","GB","12","-143"
"9","22287","822","22287","5/14/2020","100","6","690","1030","ICT","26","-1122"
"10","33253","5252","34352","5/14/2020","1392","275","3013","1685","KP","572","-1553"
"11","121329","13561","145577","5/14/2020","4636","223","2790","6567","Punjab","5912","-5670"
"13","103343","13341","103343","5/14/2020","2835","234","8840","4226","Sindh","1432","-4487"
"6","3411","105","3411","5/15/2020","76","1","0","166","AJK","28","374"
"7","18255","2310","16601","5/15/2020","342","30","1907","345","Balochistan","31","850"
"8","6573","501","6027","5/15/2020","339","4","141","177","GB","17","279"
"9","23409","866","23409","5/15/2020","100","7","734","1122","ICT","25","2152"
"10","34806","5423","35905","5/15/2020","1505","284","3087","1553","KP","547","3328"
"11","126538","13914","151247","5/15/2020","4720","234","2780","5209","Punjab","6180","11035"
"13","107830","14099","107830","5/15/2020","3073","243","9307","4487","Sindh","1476","8713"
"6","3572","108","3572","5/16/2020","76","1","0","161","AJK","31","327"
"7","18609","2457","17078","5/16/2020","383","31","2011","354","Balochistan","32","1016"
"8","6660","518","6173","5/16/2020","345","4","145","87","GB","24","289"
"9","24367","921","24367","5/16/2020","100","7","784","958","ICT","30","2080"
"10","36443","5678","37452","5/16/2020","1613","291","3252","1637","KP","522","3100"
"11","132593","14201","157226","5/16/2020","4757","245","2781","6055","Punjab","6418","11649"
"13","113396","14916","113396","5/16/2020","3606","255","9651","5566","Sindh","1404","10053"
"6","3758","112","3758","5/17/2020","77","1","0","186","AJK","34","347"
"7","18627","2544","17663","5/17/2020","417","36","2059","18","Balochistan","32","1062"
"8","6808","527","6356","5/17/2020","348","4","154","148","GB","21","329"
"9","25385","947","25385","5/17/2020","113","7","805","1018","ICT","22","1976"
"10","37913","5847","38992","5/17/2020","1699","305","3469","1470","KP","374","3087"
"11","138511","14584","163466","5/17/2020","4883","252","2832","5918","Punjab","6617","12219"
"13","117860","15590","117860","5/17/2020","3804","268","10253","4464","Sindh","1265","10030"
"6","3947","112","3947","5/18/2020","77","1","0","189","AJK","34","375"
"7","18801","2692","18021","5/18/2020","454","36","2176","174","Balochistan","26","943"
"8","6929","540","6517","5/18/2020","368","4","142","121","GB","26","344"
"9","26606","997","26606","5/18/2020","113","7","846","1221","ICT","31","2239"
"10","39321","6061","40410","5/18/2020","1783","318","3440","1408","KP","520","2958"
"11","142864","15346","168940","5/18/2020","4918","260","2780","4353","Punjab","7388","11714"
"13","122894","16337","122894","5/18/2020","4209","277","10445","5034","Sindh","1406","9498"
"6","4090","115","4090","5/19/2020","77","1","0","143","AJK","37","332"
"7","19029","2820","18438","5/19/2020","524","38","2224","228","Balochistan","34","775"
"8","6985","550","6636","5/19/2020","368","4","156","56","GB","22","280"
"9","27425","1034","27425","5/19/2020","113","9","890","819","ICT","22","2040"
"10","40721","6230","41825","5/19/2020","1944","334","3474","1400","KP","478","2833"
"11","148621","15976","174305","5/19/2020","4974","273","2780","5757","Punjab","7949","10839"
"13","127573","17241","127573","5/19/2020","4489","280","11095","4679","Sindh","1377","9713"
"6","4242","133","4242","5/20/2020","77","1","0","152","AJK","55","295"
"7","19381","2885","19003","5/20/2020","608","38","2200","352","Balochistan","39","982"
"8","7071","556","6731","5/20/2020","390","4","142","86","GB","20","214"
"9","29033","1138","29033","5/20/2020","151","9","948","1608","ICT","30","2427"
"10","42121","6554","43329","5/20/2020","2058","345","3639","1400","KP","512","2919"
"11","155679","16685","180540","5/20/2020","5076","289","2782","7058","Punjab","8538","11600"
"13","131376","17947","131376","5/20/2020","4741","299","11373","3803","Sindh","1534","8482"
"6","4470","148","4470","5/21/2020","79","1","0","228","AJK","68","380"
"7","19394","2968","19345","5/21/2020","636","38","2259","13","Balochistan","35","907"
"8","7178","579","6928","5/21/2020","402","4","151","107","GB","22","292"
"9","30364","1235","30364","5/21/2020","151","10","1039","1331","ICT","35","2939"
"10","43623","6815","44973","5/21/2020","2130","351","3799","1502","KP","535","3148"
"11","162669","17382","185979","5/21/2020","5112","297","3255","6990","Punjab","8718","11674"
"13","137540","18964","137540","5/21/2020","5645","316","11516","6164","Sindh","1487","9967"
"6","4659","158","4659","5/22/2020","79","1","0","189","AJK","78","417"
"7","19698","3074","19888","5/22/2020","724","39","2253","304","Balochistan","58","885"
"8","7310","602","7099","5/22/2020","412","4","161","132","GB","25","368"
"9","32126","1326","32126","5/22/2020","151","12","1129","1762","ICT","34","3093"
"10","45049","7155","46762","5/22/2020","2198","365","4172","1426","KP","420","3433"
"11","165801","18455","191910","5/22/2020","5312","310","3415","3132","Punjab","9418","11370"
"13","143543","19924","143543","5/22/2020","6325","336","11735","6003","Sindh","1528","12167"
"6","4868","171","4868","5/23/2020","94","1","0","209","AJK","76","398"
"7","19980","3198","20383","5/23/2020","762","39","2339","282","Balochistan","58","1038"
"8","7540","607","7338","5/23/2020","427","4","150","230","GB","26","410"
"9","32964","1457","32964","5/23/2020","152","12","1260","838","ICT","33","2600"
"10","46279","7391","48348","5/23/2020","2297","381","4248","1230","KP","465","3375"
"11","169603","18730","197225","5/23/2020","5906","324","10374","3802","Punjab","2126","11246"
"13","149566","20883","149566","5/23/2020","7015","340","11895","6023","Sindh","1633","12026"
"6","5103","197","5103","5/24/2020","97","1","0","235","AJK","99","444"
"7","19998","3306","20987","5/24/2020","860","39","2346","18","Balochistan","61","1099"
"8","7780","619","7443","5/24/2020","430","4","161","240","GB","24","344"
"9","33936","1592","33936","5/24/2020","152","14","1396","972","ICT","30","1810"
"10","47431","7685","49780","5/24/2020","2396","389","4497","1152","KP","403","3018"
"11","175007","19557","202456","5/24/2020","6050","332","11215","5404","Punjab","1960","10546"
"13","153902","21645","153902","5/24/2020","7213","354","12424","4336","Sindh","1654","10359"
"6","5225","209","5225","5/25/2020","99","2","0","122","AJK","108","357"
"7","19998","3407","21401","5/25/2020","875","40","2415","0","Balochistan","77","1018"
"8","7827","619","7574","5/25/2020","437","7","151","47","GB","24","236"
"9","34379","1641","34379","5/25/2020","152","16","1442","443","ICT","31","1415"
"10","48476","7905","51587","5/25/2020","2469","398","4637","1045","KP","401","3239"
"11","178178","20077","206041","5/25/2020","6091","337","11596","3171","Punjab","2053","8816"
"13","157449","22491","157449","5/25/2020","7359","367","13094","3547","Sindh","1671","7883"
"6","5341","211","5341","5/26/2020","99","2","0","116","AJK","110","238"
"7","20352","3468","21597","5/26/2020","993","41","2357","354","Balochistan","77","610"
"8","8086","630","7652","5/26/2020","444","8","154","259","GB","24","209"
"9","34964","1728","34964","5/26/2020","152","17","1527","585","ICT","32","1028"
"10","49025","8080","52783","5/26/2020","2529","408","4743","549","KP","400","3003"
"11","180538","20654","209270","5/26/2020","6124","352","12041","2360","Punjab","2137","6814"
"13","159301","22934","159301","5/26/2020","7973","369","12943","1852","Sindh","1649","5399"
"6","5379","214","5379","5/27/2020","99","4","0","38","AJK","111","154"
"7","20574","3536","21866","5/27/2020","1156","42","2229","222","Balochistan","109","465"
"8","8175","638","7761","5/27/2020","457","9","148","89","GB","24","187"
"9","35551","1879","35551","5/27/2020","152","18","1678","587","ICT","31","1172"
"10","49627","8259","53917","5/27/2020","2578","416","4862","602","KP","403","2330"
"11","182977","21118","213297","5/27/2020","6185","362","12394","2439","Punjab","2177","7256"
"13","161628","23507","161628","5/27/2020","8515","374","12931","2327","Sindh","1687","4179"
"6","5501","219","5501","5/28/2020","99","5","0","122","AJK","115","160"
"7","21151","3616","22200","5/28/2020","1289","42","2170","577","Balochistan","115","603"
"8","8175","651","7945","5/28/2020","463","9","155","0","GB","24","293"
"9","36108","2015","36108","5/28/2020","152","19","1808","557","ICT","36","1144"
"10","50268","8483","54801","5/28/2020","2632","425","5030","641","KP","396","2018"
"11","187376","22037","217726","5/28/2020","6326","381","13036","4399","Punjab","2294","8456"
"13","164805","24206","163805","5/28/2020","9270","380","12836","3177","Sindh","1720","4504"
"6","5738","227","5738","5/29/2020","99","5","0","237","AJK","123","359"
"7","21566","3928","22641","5/29/2020","1354","43","2424","415","Balochistan","107","775"
"8","8257","658","8064","5/29/2020","470","9","154","82","GB","25","303"
"9","36713","2100","36713","5/29/2020","161","22","1878","605","ICT","39","1162"
"10","51408","8842","55881","5/29/2020","2693","432","5301","1140","KP","416","1964"
"11","193228","22964","223074","5/29/2020","6338","410","13888","5852","Punjab","2328","9777"
"13","167906","25309","167906","5/29/2020","11190","396","12146","3101","Sindh","1577","6278"
"6","5975","234","5975","5/30/2020","105","6","0","237","AJK","123","474"
"7","21897","4087","23394","5/30/2020","1400","46","2555","331","Balochistan","86","1194"
"8","8257","660","8208","5/30/2020","477","9","150","0","GB","24","263"
"9","37728","2192","37728","5/30/2020","161","23","1962","1015","ICT","46","1620"
"10","52721","9067","57095","5/30/2020","2731","445","5454","1313","KP","437","2294"
"11","200031","24104","228415","5/30/2020","6507","439","14733","6803","Punjab","2425","10689"
"13","171222","26113","171222","5/30/2020","12750","427","11902","3316","Sindh","1034","7417"
"6","6260","251","6260","5/31/2020","159","6","0","285","AJK","86","522"
"7","22396","4193","23977","5/31/2020","1471","46","2594","499","Balochistan","82","1336"
"8","8549","678","8451","5/31/2020","490","11","153","292","GB","24","387"
"9","39269","2418","39269","5/31/2020","169","27","2177","1541","ICT","45","2556"
"10","54255","9540","58685","5/31/2020","2809","453","5843","1534","KP","435","2804"
"11","206202","25056","233685","5/31/2020","6901","475","14930","6171","Punjab","2750","10611"
"13","176703","27360","176703","5/31/2020","13272","465","12565","5481","Sindh","1058","8797"
"6","6583","255","6583","6/1/2020","168","6","0","323","AJK","81","608"
"7","22981","4393","24470","6/1/2020","1507","47","2757","585","Balochistan","82","1076"
"8","8670","711","8602","6/1/2020","496","11","180","121","GB","24","394"
"9","40604","2589","40604","6/1/2020","169","28","2345","1335","ICT","47","2876"
"10","55552","10027","60901","6/1/2020","2912","473","6218","1297","KP","424","3806"
"11","211980","26240","239173","6/1/2020","7021","497","16085","5778","Punjab","2637","10758"
"13","180803","28245","180803","6/1/2020","13810","481","12773","4100","Sindh","1181","9581"
"6","6696","271","6696","6/2/2020","170","6","0","113","AJK","95","436"
"7","23631","4514","25375","6/2/2020","1565","49","2815","650","Balochistan","85","1398"
"8","8942","738","8863","6/2/2020","527","11","159","272","GB","41","412"
"9","41876","2893","41876","6/2/2020","169","30","2643","1272","ICT","51","2607"
"10","56908","10485","62528","6/2/2020","2973","482","6530","1356","KP","500","3843"
"11","219862","27850","245544","6/2/2020","7116","540","17438","7882","Punjab","2756","11859"
"13","187092","29647","187092","6/2/2020","14590","503","13346","6289","Sindh","1208","10389"
"6","7008","284","7008","6/3/2020","170","7","0","312","AJK","107","425"
"7","24513","4740","26218","6/3/2020","1733","49","2877","882","Balochistan","81","1748"
"8","9308","779","9197","6/3/2020","529","12","197","366","GB","41","595"
"9","43418","3188","43418","6/3/2020","399","34","2707","1542","ICT","48","2814"
"10","58531","10897","64488","6/3/2020","3085","490","6764","1623","KP","558","3587"
"11","228734","29489","252469","6/3/2020","7469","570","18667","8872","Punjab","2783","13296"
"13","192546","31086","192546","6/3/2020","15538","526","13813","5454","Sindh","1209","11743"
"6","7287","285","7287","6/4/2020","173","7","0","279","AJK","105","591"
"7","24530","5224","27301","6/4/2020","2021","51","3084","17","Balochistan","68","1926"
"8","9418","824","9435","6/4/2020","532","12","239","110","GB","41","572"
"9","45760","3544","45760","6/4/2020","518","38","2937","2342","ICT","51","3884"
"10","60524","11373","66381","6/4/2020","3150","500","7098","1993","KP","625","3853"
"11","238105","31104","259254","6/4/2020","7712","607","20020","9371","Punjab","2765","13710"
"13","200093","32910","200093","6/4/2020","16022","555","15070","7547","Sindh","1263","13001"
"6","7613","299","7613","6/5/2020","182","7","0","326","AJK","110","605"
"7","25802","5582","28099","6/5/2020","2037","53","3416","1272","Balochistan","76","1881"
"8","9627","852","9641","6/5/2020","541","12","253","209","GB","46","444"
"9","48546","3946","48546","6/5/2020","629","41","3220","2786","ICT","56","5128"
"10","62412","11890","68982","6/5/2020","3221","521","7468","1888","KP","680","4494"
"11","249236","33144","266959","6/5/2020","7806","629","22153","11131","Punjab","2556","14490"
"13","208483","33536","208483","6/5/2020","16782","575","14910","8390","Sindh","1269","15937"
"6","7934","331","7934","6/6/2020","185","8","0","321","AJK","138","647"
"7","29205","5776","28652","6/6/2020","2110","54","3530","3403","Balochistan","82","1351"
"8","9874","897","9859","6/6/2020","551","13","287","247","GB","46","424"
"9","51376","4323","51376","6/6/2020","629","45","3591","2830","ICT","58","5616"
"10","64422","12459","71688","6/6/2020","3366","541","7840","2010","KP","712","5307"
"11","259241","35308","275139","6/6/2020","7953","659","24003","10005","Punjab","2693","15885"
"13","215860","34889","215860","6/6/2020","17787","615","15156","7377","Sindh","1331","15767"
"6","8342","361","8342","6/7/2020","190","8","0","408","AJK","163","408"
"7","29799","6221","30087","6/7/2020","2175","54","3919","594","Balochistan","73","1435"
"8","10032","927","10058","6/7/2020","573","13","295","158","GB","46","199"
"9","54675","4979","54675","6/7/2020","703","49","4168","3299","ICT","59","3299"
"10","66025","13001","74749","6/7/2020","3450","561","8279","1603","KP","711","3061"
"11","268895","37090","282807","6/7/2020","8109","683","25601","9654","Punjab","2697","7668"
"13","222890","36364","222890","6/7/2020","18265","634","16138","7030","Sindh","1327","7030"
"6","9573","488","9573","6/11/2020","219","9","0","371","AJK","260","371"
"7","32213","7335","34153","6/11/2020","2592","73","4563","525","Balochistan","107","1025"
"8","10389","1018","10650","6/11/2020","633","14","321","172","GB","50","230"
"9","66040","6236","66040","6/11/2020","1164","62","4935","2828","ICT","75","2828"
"10","73637","15206","86899","6/11/2020","3771","619","9799","2343","KP","1017","3932"
"11","314975","45463","317893","6/11/2020","9005","841","32814","12362","Punjab","2803","9087"
"13","255617","43790","255617","6/11/2020","21007","738","20519","9100","Sindh","1526","9100"
"6","9942","534","9942","6/12/2020","237","10","0","369","AJK","287","369"
"7","32969","7673","35412","6/12/2020","2673","75","4818","756","Balochistan","107","1259"
"8","10465","1030","10769","6/12/2020","673","15","294","76","GB","48","119"
"9","69806","6699","69806","6/12/2020","1164","65","5395","3766","ICT","75","3766"
"10","76035","15787","90470","6/12/2020","3907","632","10222","2398","KP","1026","3571"
"11","325091","47382","327072","6/12/2020","9546","890","34520","10116","Punjab","2426","9179"
"13","265698","46828","265698","6/12/2020","22047","776","22324","10081","Sindh","1681","10081"
